,Cases,Death,Date_year,Date_month,Date_day
380,13.0,0.0,2023,1,16
381,12.0,0.0,2023,1,17
382,14.0,2.0,2023,1,18
383,16.0,0.0,2023,1,19
384,1.0,0.0,2023,1,20
385,11.0,1.0,2023,1,21
386,8.0,0.0,2023,1,22
387,15.0,0.0,2023,1,23
388,14.0,0.0,2023,1,24
389,12.0,0.0,2023,1,25
390,,,2023,1,26
391,2.0,0.0,2023,1,27
392,6.0,0.0,2023,1,28
393,14.0,0.0,2023,1,29
394,7.0,0.0,2023,1,30
395,14.0,0.0,2023,1,31
396,2.0,0.0,2023,2,1
397,8.0,0.0,2023,2,2
398,2.0,0.0,2023,2,3
399,10.0,1.0,2023,2,4
400,5.0,1.0,2023,2,5
401,11.0,0.0,2023,2,6
402,7.0,0.0,2023,2,7
403,11.0,0.0,2023,2,8
404,6.0,0.0,2023,2,9
405,3.0,0.0,2023,2,10
406,13.0,0.0,2023,2,11
407,14.0,0.0,2023,2,12
408,5.0,0.0,2023,2,13
409,10.0,0.0,2023,2,14
410,9.0,0.0,2023,2,15
411,,,2023,2,16
412,0.0,0.0,2023,2,17
413,5.0,0.0,2023,2,18
414,4.0,0.0,2023,2,19
415,4.0,1.0,2023,2,20
416,1.0,0.0,2023,2,21
417,8.0,0.0,2023,2,22
418,5.0,0.0,2023,2,23
419,2.0,0.0,2023,2,24
420,4.0,0.0,2023,2,25
421,8.0,0.0,2023,2,26
422,3.0,0.0,2023,2,27
423,2.0,0.0,2023,2,28
424,3.0,0.0,2023,3,1
425,16.0,0.0,2023,3,2
426,1.0,0.0,2023,3,3
427,2.0,0.0,2023,3,4
428,4.0,0.0,2023,3,5
429,8.0,0.0,2023,3,6
430,2.0,0.0,2023,3,7
431,1.0,0.0,2023,3,8
432,7.0,0.0,2023,3,9
433,1.0,0.0,2023,3,10
434,2.0,0.0,2023,3,11
435,3.0,0.0,2023,3,12
436,4.0,0.0,2023,3,13
437,2.0,0.0,2023,3,14
438,5.0,0.0,2023,3,15
439,3.0,0.0,2023,3,16
440,0.0,0.0,2023,3,17
441,4.0,0.0,2023,3,18
442,7.0,0.0,2023,3,19
443,2.0,0.0,2023,3,20
444,4.0,0.0,2023,3,21
445,5.0,0.0,2023,3,22
446,1.0,0.0,2023,3,23
447,0.0,0.0,2023,3,24
448,6.0,0.0,2023,3,25
449,0.0,0.0,2023,3,26
450,4.0,0.0,2023,3,27
451,6.0,0.0,2023,3,28
452,2.0,0.0,2023,3,29
453,6.0,0.0,2023,3,30
454,0.0,0.0,2023,3,31
455,4.0,0.0,2023,4,1
456,3.0,0.0,2023,4,2
457,2.0,0.0,2023,4,3
458,5.0,0.0,2023,4,4
459,5.0,0.0,2023,4,5
460,12.0,0.0,2023,4,6
461,0.0,0.0,2023,4,7
462,1.0,0.0,2023,4,8
463,4.0,0.0,2023,4,9
464,9.0,0.0,2023,4,10
465,6.0,0.0,2023,4,11
466,4.0,0.0,2023,4,12
467,3.0,1.0,2023,4,13
468,0.0,0.0,2023,4,14
469,0.0,0.0,2023,4,15
470,7.0,0.0,2023,4,16
471,5.0,0.0,2023,4,17
472,7.0,0.0,2023,4,18
473,0.0,0.0,2023,4,19
474,1.0,0.0,2023,4,20
475,0.0,0.0,2023,4,21
476,0.0,0.0,2023,4,22
477,0.0,0.0,2023,4,23
478,9.0,0.0,2023,4,24
479,11.0,0.0,2023,4,25
480,8.0,0.0,2023,4,26
481,13.0,0.0,2023,4,27
482,0.0,0.0,2023,4,28
483,15.0,1.0,2023,4,29
484,9.0,0.0,2023,4,30
485,24.0,0.0,2023,5,1
486,27.0,0.0,2023,5,2
487,16.0,0.0,2023,5,3
488,9.0,0.0,2023,5,4
489,4.0,0.0,2023,5,5
490,14.0,0.0,2023,5,6
491,9.0,0.0,2023,5,7
492,34.0,0.0,2023,5,8
493,21.0,0.0,2023,5,9
494,28.0,0.0,2023,5,10
495,19.0,1.0,2023,5,11
496,5.0,0.0,2023,5,12
497,29.0,0.0,2023,5,13
498,18.0,0.0,2023,5,14
499,18.0,0.0,2023,5,15
500,31.0,0.0,2023,5,16
501,38.0,0.0,2023,5,17
502,29.0,0.0,2023,5,18
503,3.0,0.0,2023,5,19
504,52.0,0.0,2023,5,20
505,33.0,1.0,2023,5,21
506,40.0,0.0,2023,5,22
507,46.0,0.0,2023,5,23
508,35.0,0.0,2023,5,24
509,52.0,0.0,2023,5,25
510,4.0,0.0,2023,5,26
511,80.0,0.0,2023,5,27
512,67.0,0.0,2023,5,28
513,72.0,0.0,2023,5,29
514,84.0,0.0,2023,5,30
515,95.0,0.0,2023,5,31
516,112.0,0.0,2023,6,1
517,4.0,0.0,2023,6,2
518,141.0,0.0,2023,6,3
519,97.0,3.0,2023,6,4
520,101.0,1.0,2023,6,5
521,96.0,0.0,2023,6,6
522,147.0,2.0,2023,6,7
523,134.0,2.0,2023,6,8
524,11.0,0.0,2023,6,9
525,156.0,1.0,2023,6,10
526,189.0,2.0,2023,6,11
527,180.0,2.0,2023,6,12
528,211.0,1.0,2023,6,13
529,201.0,1.0,2023,6,14
530,285.0,1.0,2023,6,15
531,39.0,0.0,2023,6,16
532,477.0,4.0,2023,6,17
533,305.0,1.0,2023,6,18
534,322.0,2.0,2023,6,19
535,334.0,0.0,2023,6,20
536,360.0,2.0,2023,6,21
537,369.0,1.0,2023,6,22
538,46.0,1.0,2023,6,23
539,500.0,2.0,2023,6,24
540,399.0,3.0,2023,6,25
541,371.0,0.0,2023,6,26
542,145.0,2.0,2023,6,27
543,108.0,0.0,2023,6,28
544,44.0,0.0,2023,6,29
545,72.0,0.0,2023,6,30
546,270.0,3.0,2023,7,1
547,509.0,2.0,2023,7,2
548,436.0,4.0,2023,7,3
549,678.0,5.0,2023,7,4
550,584.0,1.0,2023,7,5
551,661.0,2.0,2023,7,6
552,182.0,1.0,2023,7,7
553,820.0,2.0,2023,7,8
554,836.0,6.0,2023,7,9
555,889.0,3.0,2023,7,10
556,1054.0,7.0,2023,7,11
557,1246.0,7.0,2023,7,12
558,1239.0,5.0,2023,7,13
559,449.0,0.0,2023,7,14
560,1623.0,7.0,2023,7,15
561,1424.0,6.0,2023,7,16
562,1589.0,8.0,2023,7,17
563,1533.0,13.0,2023,7,18
564,1792.0,19.0,2023,7,19
565,1755.0,9.0,2023,7,20
566,896.0,1.0,2023,7,21
567,2242.0,11.0,2023,7,22
568,2292.0,9.0,2023,7,23
569,2293.0,9.0,2023,7,24
570,2418.0,16.0,2023,7,25
571,2653.0,14.0,2023,7,26
572,2361.0,10.0,2023,7,27
573,1503.0,4.0,2023,7,28
574,2202.0,10.0,2023,7,29
575,2731.0,8.0,2023,7,30
576,2694.0,4.0,2023,7,31
577,2584.0,10.0,2023,8,1
578,2711.0,12.0,2023,8,2
579,2589.0,10.0,2023,8,3
580,1757.0,10.0,2023,8,4
581,2495.0,10.0,2023,8,5
582,2764.0,10.0,2023,8,6
583,2751.0,14.0,2023,8,7
584,2742.0,13.0,2023,8,8
585,2834.0,12.0,2023,8,9
586,2969.0,12.0,2023,8,10
587,2046.0,9.0,2023,8,11
588,2432.0,14.0,2023,8,12
589,2905.0,11.0,2023,8,13
590,2480.0,18.0,2023,8,14
591,1984.0,10.0,2023,8,15
592,2149.0,9.0,2023,8,16
593,2288.0,9.0,2023,8,17
594,1565.0,9.0,2023,8,18
595,1983.0,13.0,2023,8,19
596,2134.0,10.0,2023,8,20
597,2197.0,9.0,2023,8,21
598,2168.0,8.0,2023,8,22
599,2070.0,13.0,2023,8,23
600,2201.0,8.0,2023,8,24
601,1594.0,14.0,2023,8,25
602,1960.0,9.0,2023,8,26
603,2327.0,11.0,2023,8,27
604,2331.0,8.0,2023,8,28
605,2291.0,13.0,2023,8,29
606,2367.0,7.0,2023,8,30
607,2308.0,17.0,2023,8,31
608,1584.0,4.0,2023,9,1
609,2302.0,21.0,2023,9,2
610,2608.0,16.0,2023,9,3
611,2138.0,12.0,2023,9,4
612,3476.0,11.0,2023,9,5
613,2106.0,14.0,2023,9,6
614,2689.0,20.0,2023,9,7
615,1876.0,15.0,2023,9,8
616,2748.0,10.0,2023,9,9
617,2993.0,14.0,2023,9,10
618,2944.0,11.0,2023,9,11
